# Задание 13: НЕ/НИ со словами
# Формат: предложение | ответ | варианты | пояснение
# Ответы восстановлены по условию и официальному цифровому ответу каждого комплекта.


# Комплект 1; источник № 51414
Дом у Петровых (НЕ)БОЛЬШОЙ, но очень уютный. | слитно | слитно,раздельно | С прилагательным пишется слитно, нет условий для раздельного написания. Союз «но» не равен союзу «а».
Отец стоял с угрюмым видом, и на лбу его резко обозначалась складка (НЕ)ТЕРПЕЛИВОГО ожидания ответа. | слитно | слитно,раздельно | Слитно с прилаг., которое можно заменить синонимом, условий для раздельного написания нет.
Всё это свидетельствует о чрезвычайной доброте его тихого и ничуть (НЕ)ЗЛОПАМЯТНОГО сердца. | раздельно | слитно,раздельно | Раздельно с прилаг., условие для раздельного написания — слово «ничуть».
Оставив чай (НЕ)ДОПИТЫМ, Макар быстро собрался и пошёл в тайгу. | слитно | слитно,раздельно | Слитно с причастием без зависимых слов.
Оля что-то всё время (НЕ)ДОГОВАРИВАЛА нам, скрывала. | слитно | слитно,раздельно | Приставка «недо» в значении «мало», (антоним — много лишнего говорила) — значение недостаточности действия, слитное написание.
Он был человеком самостоятельным, абсолютно ни от кого (НЕ)ЗАВИСЯЩИМ. | раздельно | слитно,раздельно | Причастие с зависимыми словами, поэтому раздельно.

# Комплект 84; источник № 51324
Расстояние до ближайшей станции оказалось очень (НЕ)БЛИЗКИМ, так что я изрядно устал, пока добрался до неё. | слитно | слитно,раздельно | Слитно с прилагательным, которое можно заменить синонимом (далеким), условий для раздельного написания нет.
Я получил в ответ ничего (НЕ)ЗНАЧАЩИЕ объяснения. | раздельно | слитно,раздельно | Причастие с зависимыми словами, поэтому раздельно.
Иван был человеком (НЕ)ДАЛЁКИМ, но в высшей степени самоуверенным. | слитно | слитно,раздельно | Слитно с прилаг., которое можно заменить синонимом (глупым), условий для раздельного написания нет.
«(НЕ)ЛУЧШЕ ли тебе, сынок, отложить поездку?» − осторожно спросила мать. | раздельно | слитно,раздельно | Со сравнительной степенью прилагательного раздельно.
Всё в природе замерло до рассвета: уже (НЕ)ВОЛНОВАЛАСЬ рожь, и шелест её стеблей не тревожил птиц. | раздельно | слитно,раздельно | С глаголом раздельно.
